abb,exp,chemical,disease,simple_chemical
C+,Coughing,ALP,"""Cerebral Palsy deficits""",0.15ml ketamine i/m
CCL,Cruciate Ligament,ASA,"""Cerebral Palsy""",1 dentastix
CE ,Clinical Exam,ATO,] osteoarthritis,1nk vetergesic
CRT,Capillary Refill Time,Amoxicillin,10/10ths lame,2.5/5 Identichip
CV,Cardiovascular,Amoxycillin/Clavulanic acid,2 ' inflam,"2/10th lame Intranasal surg ,"
D  ,Diarrhoea,Azidothymidine,2 mammary tumours,22/1/2015 DHPPI c054c01 Nobivaclepto2 a220a02
EAG,Empty Anal Glands,Bisolvon,2/5 lame,2ndry Otitis
F/W,Flea And Worming,Buscopan,abcess / cyst,3/0 biosyn
GA,General Anaesthetic,Cefovecin,abdo mass,30/06/16 - Versican
GHE,General Health Exam,Cephalexin,abdo pain,Adaptil collar
GI ,Gastro Intestinal,Chloramphenicol,abdo skin sore,Amoxycillin/Clavulanic acid
HPC,Health Pet Club,Clindamycin,abdomen pain,Azidothymidine
HR,Heart Rate,Cerenia,Abdominal distension,Bisolvon THG
Hx,History,Cartrofen,abdominal distension,Boosters ducat/felv
LF,Left Fore Leg,Cartrophen,abdominal mass,CHX
LH,Left Hind,Cephacare,abdominal neoplasia,Calcium
MM,Mucus Membrane,Cerenia,abdominal pain,Cartrophen
NQR,Not Quite Right,Chlortetracycline,abnormal behaviour,Ccr rupture
O,Owner,DHP/KC/microchip/ende,abnormal detected abdomen palp,Cefovecin
OE,Otitis Externa,DHP/L4,abnormal detected abdomen palpation,Cephalexin
OR,Owner Reports,DHP/L4 A090B01/A040A01,abnormal detected chest ausc,Cerenia
PMS,Pre-Molar Teeth,DHP/L4 A114D02/A088A03,abnormal detected chest ausc/abdo palp,Chloramphenicol
POC,Post Operation Check,DHP/L4 A119B01/,abnormal detected small mass At night callr,Cytopoint
PTS,Put To Sleep,DHP/Lepto 2 A118B01/A420A02,abnormal detected small skin tag left lateral side,Cytopoint inj
REEX,Re-examine,DHP/canigen,abnormal detected thoracic ausc,DHP/solvet
RF,Right Fore Leg,DHPL,abnormal detected thoracic ausc Owner,Depo
RH,Right Hind,DHPPi,abnormal detected thoracic auscultation,Dex
ROM,Range Of Motion,DHPPi/L4,abnormal Intranasal mouth,"Diethylcarbamazine N,"
Rp,Repeat Prescription,DHPPiL,abnormal lung sounds,"Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide"
RR,Respiratory Rate,DHPPiL2,abnormal neurological signs,"Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide 2018"
Rx,Receive,DHPPiL4,Abscess,"Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide teeth"
s/o,Sutras Out,DUCAT,abscess,Doxycycline
T,Temperature,DUDE-N,abscessation,Estrodial Benzoate
TM,Tympanic Membrane,Dermisol,abscesses,Exocin
Tx ,Treatment,Diagnosis/Differential,acanthosis,FeLV/Tricat
UTD,Up To Date,Diethylcarbamazine,accidents,Felimazole OK
